,category_code_description,market_value,parcel_number,sale_date,sale_price,total_area,taxable_building,taxable_land,zip_code,zoning,lat,lng,tax_assessment,sales_ratio
183263,Single Family,29100.0,282136100,2018-06-21,36000.0,798.0,24037.0,5063.0,191323344,RSA5 ,39.99235256644621,-75.18310258369009,29100.0,0.8083333333333333
183281,Single Family,99300.0,292232600,2018-06-07,175000.0,1024.0,29510.0,29790.0,191214539,RSA5 ,39.976081226051996,-75.1833931152494,59300.0,0.33885714285714286
183296,Single Family,638200.0,303004304,2018-04-24,990000.0,1341.22,145734.0,191400.0,191461519,CMX3 ,39.9452074417994,-75.1711074534805,337134.0,0.3405393939393939
183358,Single Family,532600.0,301115900,2018-07-12,521000.0,750.0,332820.0,159780.0,191461335,RSA5 ,39.942464339204605,-75.1767336334377,492600.0,0.945489443378119
183360,Single Family,713400.0,301116200,2018-11-05,900000.0,750.0,90385.0,203319.0,191461335,RSA5 ,39.9424774082883,-75.1768382901199,293704.0,0.3263377777777778
183365,Single Family,725000.0,301116700,2018-06-25,950000.0,750.0,0.0,210250.0,191461335,RSA5 ,39.942511856607105,-75.17710538044841,210250.0,0.22131578947368422
183409,Single Family,293200.0,301024500,2018-04-02,389000.0,800.0,205300.0,87900.0,191461312,RSA5 ,39.944566006234396,-75.1757900849682,293200.0,0.7537275064267352
183418,Single Family,605200.0,301152600,2018-05-04,500000.0,560.0,440767.0,164433.0,191461827,RSA5 ,39.9416206522779,-75.1751179929766,605200.0,1.2104
183422,Single Family,605200.0,301153000,2018-05-03,525000.0,560.0,440767.0,164433.0,191461827,RSA5 ,39.9416450699615,-75.1753133885991,605200.0,1.1527619047619047
183449,Single Family,8200.0,282092900,2019-02-11,11100.0,700.0,5346.0,2854.0,191323038,RSA5 ,39.9958762380705,-75.1809237934207,8200.0,0.7387387387387387
183450,Single Family,8000.0,282093000,2018-01-30,15000.0,700.0,5216.0,2784.0,191323038,RSA5 ,39.9959143654278,-75.1809166774057,8000.0,0.5333333333333333
183469,Single Family,352000.0,292138400,2018-04-12,352500.0,707.0,0.0,100320.0,191214523,RSA5 ,39.9757423761096,-75.18275500628451,100320.0,0.2845957446808511
183471,Single Family,84900.0,292302000,2018-06-01,258000.0,665.52,56900.0,28000.0,191213504,RSA5 ,39.9781548033272,-75.184767418885,84900.0,0.32906976744186045
